age,CH4
6707.6,635.9298692301896
6708.7,603.3
6737.9,607.9864840847108
6816.6,605.3
6901.2,632.576485885838
6923.5,607.0
6960.5,613.5436638608305
7015.6,631.0443895344015
7019.7,609.7
7104.9,612.446
7105.9,607.3
7127.4,622.514971513703
7209.4,618.3
7253.2,618.2266870337752
7288.7,601.7
7310.4,623.191746444062
7405.4,611.7
7408.4,602.4435269601157
7429.5,617.4458300262933
7496.4,625.2244872002501
7497.5,609.7
7523.2,617.0
7543.5,616.5103982397931
7572.6,622.7
7616.3,619.953949058023
7659.9,619.0693296923745
7669.5,623.0
7688.2,619.5719927624211
7704.0,623.3333333333334
7722.8,617.9202966807459
7761.5,619.5308021231622
7768.8,610.7
7778.2,612.4652947395545
7823.3,613.6666666666666
7841.3,620.0
7856.6,597.7
7871.0,600.0956824372248
7874.0,612.3333333333334
7891.8,589.0
7912.8,613.0637808486458
7956.6,624.3
7985.4,659.9720099500157
8012.1,632.3333333333334
8038.6,605.7
8053.0,626.4409585926921
8065.7,632.6666666666666
8067.7,623.910833607378
8089.3,651.0
8108.4,640.3333333333334
8155.2,641.85
8171.2,640.7
8201.6,659.5559579202251
8269.4,647.171
8273.2,649.3
8331.0,664.5976183999738
8370.7,648.0380811393014
8377.8,659.7
8435.4,654.1022347798478
8452.0,653.7
8522.8,661.5987687712055
8549.3,657.3
8643.9,670.74
8647.6,659.0
8708.1,675.4418396380748
8763.9,676.181599594646
8771.2,657.5
8831.5,673.7165
8841.6,657.3
8905.7,647.6441176428091
8960.9,670.7
9020.1,663.5094977104854
9080.8,671.35
9084.8,664.7
9133.6,664.0419988665819
9135.4,665.0
9148.8,666.4303819582348
9207.3,663.3
9281.4,675.0227138343795
9305.0,670.9140777903065
9311.8,673.7
9391.2,676.3347122037518
9459.5,675.350545756252
9509.5,682.3
9533.0,685.4014166934082
9586.6,688.95
9591.6,683.3
9639.8,693.0557213755374
9699.5,676.3
9718.8,673.8408889932382
9794.2,669.5888899272916
9800.9,682.3
9835.0,674.6233881339504
9882.1,685.0
9961.5,678.0
10036.2,717.0515
10097.7,698.0
10191.6,694.2864598706141
10203.7,678.0
10252.5,682.4566084206558
10273.5,688.0
10393.6,672.1639939758566
10409.0,661.3
10478.2,668.678783351145
10517.5,652.0
10604.3,671.3971893060777
10611.9,666.0
10658.7,684.5189354318102
10707.1,680.7
10811.6,693.5484963387469
10817.5,673.3
10871.6,679.2116836153941
10924.5,703.0
11066.4,650.402293199523
11077.8,633.3
11123.6,652.519
11130.1,654.3
11216.2,664.7
11324.9,643.4884397963933
11332.6,559.0
11409.9,469.0
11610.3,488.4317190189873
11624.6,467.7
11716.6,477.3
11798.3,462.0160151715892
11808.3,482.7
11921.2,462.3
12033.0,480.2567036673227
12038.8,466.7
12093.5,478.5904993565911
12337.5,542.0
12476.8,650.9935630057586
12484.8,627.0
12604.9,643.3
12735.5,610.4635895983987
12747.3,646.0
12883.8,661.4955
12909.7,661.7
13069.8,670.403383623417
13078.6,653.3
13255.2,645.7
13356.1,628.4335
13418.2,624.8581950812983
13427.9,618.7
13497.3,613.0
13624.6,618.6
13637.3,623.2599844080847
13646.0,630.0
13771.4,611.7
13941.8,578.3
13951.0,596.8829014099491
14009.8,568.8756288405009
14289.1,464.7
14311.7,476.0199446533726
14534.5,461.0
14546.8,469.6166666666667
14554.6,468.6689330979072
14710.9,459.3
14869.7,469.86414967583914
14966.2,475.7
15202.6,463.0097118854057
15216.7,451.0
15392.8,451.7
15545.2,441.3803499051009
15555.0,456.0
15844.1,441.2
15865.1,438.4386672766028
15870.0,473.3
16060.3,418.7
16213.3,423.7
16242.5,427.3
16430.0,404.7
16604.3,409.2
16617.1,404.1524256096429
16826.1,408.3
16832.5,381.3
17045.8,395.4
17074.6,388.8398486202478
17316.4,371.3
17505.7,375.4
17530.8,366.152
17542.7,383.7
17788.8,366.3
17908.7,377.2381363690023
17923.3,371.3
18256.2,375.3
18490.1,370.9
18508.0,378.336
18518.7,371.0
18873.3,372.7418455926701
18890.4,378.7
19316.5,365.7
19450.7,358.0826297071823
19479.0,377.0
19680.0,356.3
19692.9,351.3
19963.4,373.74198687378373
20124.3,375.3
20465.5,383.75
20468.6,366.73278311726676
20707.8,378.3
20954.1,364.808245523467
21217.6,353.7
21469.5,357.0
21786.3,357.3
21985.6,355.3
22717.9,407.3
22895.0,384.65
23129.6,390.0
23278.7,389.75
23472.2,389.7
23747.4,386.475
23888.1,398.0
24084.1,375.1
24299.0,360.0
24515.5,372.7
24721.1,388.7
24927.4,372.475
25329.2,369.7
25599.1,365.0
25824.4,355.0
25989.6,364.125
26631.1,396.3
26918.0,387.0
27073.9,386.2
27335.9,395.85
27503.5,406.3
27679.9,426.3
27895.7,381.925
28135.6,399.0
28285.5,402.375
28502.0,414.0
28763.5,443.875
29090.9,388.3
29318.7,367.7
29701.0,391.0
29979.6,399.3
30147.8,392.375
30618.2,409.7
30760.6,408.475
30974.4,391.7
31197.6,404.425
31403.9,412.0
31755.9,426.5
31792.9,421.625
31895.2,440.9
32069.4,457.4
32163.0,470.8
32253.6,430.625
32369.9,451.9
32414.5,409.15
32587.6,410.4
32644.6,404.6
32767.7,404.0
32813.6,414.5
32903.8,432.0
33026.2,423.5
33060.0,427.65
33148.4,439.6
33201.8,443.3
33248.4,444.3
33480.2,460.9
33687.9,478.7
33734.6,425.9
33809.5,415.4
33856.6,419.0
34045.8,420.4
34079.2,430.075
34184.8,430.0
34337.2,428.0
34530.7,447.05
34577.5,457.0
34668.2,489.0
34900.6,519.2
34904.4,519.85
34945.5,512.5
35060.5,514.3
35181.1,497.7
35238.1,491.85
35330.3,426.9
35489.4,420.6
35649.7,444.0
35764.1,425.6
35840.7,425.2
35892.9,440.75
35999.7,440.3
36104.4,441.3
36308.1,470.8
36373.6,468.5
36522.2,494.45
36612.6,523.8
36936.9,533.6
36988.2,534.375
37126.9,586.7
37187.6,536.3
37199.9,548.2
37298.3,571.9
37366.6,563.275
37406.1,580.4
37514.5,560.4
37524.1,556.7
37559.0,543.9
37675.2,546.675
37751.2,539.0
37848.6,539.5
37893.3,481.0
38045.1,526.275
38237.2,443.0
38421.1,440.15
38797.4,455.1
39019.7,441.3
39175.6,450.1
39372.8,443.7
39590.9,427.0
39754.0,418.7
39790.6,418.7
39807.8,410.9
39996.9,423.8
40030.8,422.3
40051.8,413.5
40162.1,442.4
40210.5,447.5
40218.5,440.4028597911235
40293.5,449.9
40370.8,429.0
40425.0,420.1
40635.6,413.0
40648.6,418.5
40803.9,426.2
40847.8,446.9
40859.7,422.3833333333333
40950.9,433.3
41057.6,419.7
41068.5,433.9
41109.5,433.4
41165.6,441.68
41223.0,457.4
41257.1,465.3
41265.1,461.9
41351.0,465.1
41369.9,464.6666666666667
41460.9,467.2
41686.8,458.1
41926.8,413.87941879570224
42051.3,429.04614358760597
42162.8,416.1
42296.2,415.11187900044007
42496.1,455.9
42678.9,446.4
42839.4,471.4
42884.0,470.0
43036.0,486.3
43118.7,481.5
43345.2,463.0
43436.5,437.4
43589.7,415.43
43862.9,411.3333333333333
44162.2,430.6
44402.6,427.3333333333333
44674.6,468.67
44988.9,461.6666666666667
45234.0,489.81
45414.1,466.6666666666667
45698.1,487.05
45877.2,499.3333333333333
46213.5,497.47
46339.4,514.0
46548.5,499.35
46744.9,493.0
46988.2,440.27
47187.7,432.1
47220.9,441.4
47471.1,424.5
47668.3,436.6666666666667
47952.4,452.8
48173.0,414.0
48677.5,435.0
48938.5,461.23
49257.4,464.0
49488.2,433.5
49715.5,451.8
49890.0,491.65
50191.6,469.6666666666667
50440.5,489.02
50622.4,493.0
50920.8,510.15
51143.8,515.0
51426.5,544.03
51620.8,517.0
51883.2,530.9
52119.7,526.6
52348.5,566.5
52532.2,542.6666666666666
52814.0,529.3
52989.4,530.0
53198.7,535.1
